time.ms, testpart.x, testpart.y, testpart.theta, testpart.x, testpart.y, testpart.theta, robot.x, robot.y, robot.theta, robot.x, robot.y, robot.theta
6568, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 921.7521, 741.49475, 5.1255245, 844.3539, 598.0207, 0.44864598
9990, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 905.27386, 748.71826, 5.1255245, 849.85095, 615.72675, 0.44864598
13503, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 887.6824, 756.42975, 5.1255245, 856.0024, 633.9381, 0.44864598
16884, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 870.1236, 764.1269, 5.1255245, 862.4546, 651.9479, 0.44864598
19982, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 853.87756, 771.29675, 5.1807733, 868.63806, 668.5967, 0.44864598
23725, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 835.5371, 779.53296, 5.1807733, 875.73486, 687.1113, 0.44864598
27461, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 819.87006, 786.6315, 5.1807733, 881.82434, 702.7564, 0.44864598
30680, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 812.56384, 794.1217, 5.1121583, 888.51526, 719.63086, 0.44864598
33981, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 816.86743, 798.7997, 5.004211, 895.5291, 737.15656, 0.44864598
37460, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 819.27423, 802.0276, 4.9352407, 901.02026, 750.7674, 0.44864598
40745, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 821.68945, 805.9696, 4.854072, 908.73267, 769.70996, 0.44864598
44571, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 823.2825, 809.0254, 4.788654, 916.75415, 789.2751, 0.44864598
48555, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 824.02484, 811.0107, 4.7435055, 922.9525, 804.315, 0.44864598
51777, 621.77185, 649.12756, 2.2185884, 765.09204, 245.34894, 4.927416, 824.41656, 812.7695, 4.699286, 929.35815, 819.77454, 0.44864598
